yf_symbol,trailingPE,priceToBook,returnOnEquity,debtToEquity,coffeeCan,coffeeCanReasons,piotroskiScore,fetched_at
BALRAMCHIN.NS,35.706104,3.196386,,76.606,False,,5,1788079046
BANDHANBNK.NS,20.077566,1.0584158,,,False,,3,1788079047
BANKBARODA.NS,6.864358,0.7420632,0.113170005,,False,,5,1788079048
BANKINDIA.NS,5.35316,0.7209192,0.13697,,False,,4,1788079049
MAHABANK.NS,8.559755,1.8060735,0.22961001,,False,,4,1788079050
BATAINDIA.NS,59.868187,5.4879375,,86.9,False,,6,1788079051
BAYERCROP.NS,24.881392,6.1353793,,2.758,False,,7,1788079052
BELRISE.NS,40.32807,3.9140131,,29.1,False,,8,1788079053
BERGEPAINT.NS,47.442417,8.334317,,9.165,False,,6,1788079054
BDL.NS,95.258934,11.279722,,0.007,False,,5,1788079055
BEL.NS,49.035717,12.551421,,0.273,True,"Consistently profitable, compounding business: 32% average return on capital over 4 years, growing revenue 15% a year",7,1788079056
BHARATFORG.NS,138.05556,10.169279,,76.475,False,,6,1788079057
BHEL.NS,61.638058,5.7378583,,31.312,False,,8,1788079058
BPCL.NS,7.929707,1.362145,,54.332,False,,7,1788079059
BHARTIARTL.NS,39.216667,7.254537,0.20151,100.415,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 15% a year",7,1788079060
BHARTIHEXA.NS,42.52675,10.816865,,85.654,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 12% a year",8,1788079061
BIKAJI.NS,60.194553,9.655021,,17.531,True,"Consistently profitable, compounding business: 20% average return on capital over 4 years, growing revenue 14% a year",7,1788079062
GROWW.NS,49.98956,12.263643,,3.028,False,,2,1788079062
BIOCON.NS,121.98814,1.9563428,,42.145,False,,6,1788079063
BSOFT.NS,14.106892,2.0447826,,3.422,False,,5,1788079064
BLUEDART.NS,41.191284,6.662225,,,False,,6,1788079065
BLUEJET.NS,43.3021,7.3682666,,3.102,False,,6,1788079066
BLUESTARCO.NS,60.60606,8.867426,,23.588,True,"Consistently profitable, compounding business: 24% average return on capital over 4 years, growing revenue 16% a year",6,1788079067
BBTC.NS,8.726136,1.5488176,,16.57,False,,7,1788079068
BOSCHLTD.NS,60.800762,9.663532,,0.8,True,"Consistently profitable, compounding business: 22% average return on capital over 4 years, growing revenue 10% a year",6,1788079069
FIRSTCRY.NS,,1.8486809,,29.762,False,,6,1788079070
BRIGADE.NS,33.225555,30.710562,,84.316,False,,4,1788079071
BRITANNIA.NS,49.021145,25.039387,,26.875,False,,8,1788079072
MAPMYINDIA.NS,38.466747,5.844942,,0.778,True,"Consistently profitable, compounding business: 24% average return on capital over 4 years, growing revenue 19% a year",6,1788079073
CCL.NS,34.599506,6.37951,,56.487,False,,8,1788079074
CESC.NS,12.958005,1.5677329,,164.311,False,,5,1788079075
CGPOWER.NS,113.68286,17.566046,,1.446,True,"Consistently profitable, compounding business: 38% average return on capital over 4 years, growing revenue 21% a year",5,1788079075
CIEINDIA.NS,16.502329,1.9105737,,6.63,False,,6,1788079076
CRISIL.NS,39.155293,10.579531,0.29052,10.23,False,,5,1788079077
CANFINHOME.NS,9.469345,1.8157165,,636.585,False,,5,1788079078
CANBK.NS,5.860731,0.98910326,,,False,,4,1788079079
CANHLIFE.NS,111.73189,8.96662,0.08276,15.304,False,,3,1788079080
CAPLIPOINT.NS,29.070332,5.4482017,,0.127,True,"Consistently profitable, compounding business: 24% average return on capital over 4 years, growing revenue 15% a year",5,1788079081
CGCL.NS,20.83845,3.4527156,,334.728,False,,4,1788079082
CARBORUNIV.NS,102.271065,5.455176,,10.292,False,,6,1788079083
CARTRADE.NS,64.81617,5.809374,,5.363,False,,8,1788079084
CASTROLIND.NS,17.263748,9.61287,0.56996,2.784,False,,7,1788079085
CEATLTD.NS,24.044783,2.4142036,,64.742,False,,7,1788079086
CEMPRO.NS,35.711067,9.078348,,37.711,True,"Consistently profitable, compounding business: 22% average return on capital over 4 years, growing revenue 25% a year",7,1788079087
CENTRALBK.NS,6.059524,0.6757385,0.115600005,,False,,5,1788079088
CDSL.NS,62.486748,15.087075,0.23913,0.11,True,"Consistently profitable, compounding business: 35% average return on capital over 4 years, growing revenue 27% a year",6,1788079089
CHALET.NS,37.738697,5.33305,,64.041,False,,7,1788079089
CHAMBLFERT.NS,8.826424,1.6206791,,10.274,False,,5,1788079090
CHENNPETRO.NS,4.7836633,1.7977091,,17.68,False,,6,1788079091
CHOICEIN.NS,67.61823,9.302655,,49.768,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 42% a year",4,1788079092
CHOLAHLDNG.NS,10.6721735,1.8211356,,623.156,False,,4,1788079093
CHOLAFIN.NS,27.701115,5.2112446,,695.283,False,,4,1788079094
CIPLA.NS,34.01434,3.339566,,1.778,False,,5,1788079095
CUB.NS,15.717114,2.0840797,,,False,,4,1788079096
CLEAN.NS,37.882698,5.6159825,,0.135,False,,5,1788079097
COALINDIA.NS,7.910831,2.0747104,,11.629,False,,6,1788079098
COCHINSHIP.NS,59.51919,6.875977,,28.466,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 29% a year",5,1788079099
COFORGE.NS,38.906914,7.094586,,7.518,True,"Consistently profitable, compounding business: 25% average return on capital over 4 years, growing revenue 27% a year",6,1788079099
COHANCE.NS,164.19708,4.4093146,,9.928,True,"Consistently profitable, compounding business: 19% average return on capital over 4 years, growing revenue 18% a year",5,1788079100
COLPAL.NS,37.177452,31.367397,,2.993,False,,5,1788079101
CAMS.NS,37.316357,14.305561,,4.863,True,"Consistently profitable, compounding business: 51% average return on capital over 4 years, growing revenue 16% a year",7,1788079102
CONCORDBIO.NS,50.98451,7.6818147,,0.115,False,,6,1788079103
CONCOR.NS,30.122593,3.0365086,,7.39,False,,5,1788079104
COROMANDEL.NS,30.821388,4.4878182,,11.469,True,"Consistently profitable, compounding business: 25% average return on capital over 4 years, growing revenue 10% a year",5,1788079105
CRAFTSMAN.NS,57.31519,8.12566,,111.011,False,,6,1788079106
CREDITACC.NS,18.939846,2.8428671,0.16364999,302.872,False,,5,1788079107
CROMPTON.NS,,5.0578504,,5.797,False,,6,1788079108
CUMMINSIND.NS,60.637554,16.98491,,0.431,True,"Consistently profitable, compounding business: 33% average return on capital over 4 years, growing revenue 16% a year",7,1788079109
CYIENT.NS,32.572056,2.153248,,7.528,False,,5,1788079110
DCMSHRIRAM.NS,11.131315,2.1188707,,37.802,False,,6,1788079111
DLF.NS,37.599556,3.7004378,0.10102,0.673,False,,5,1788079111
DOMS.NS,62.115814,10.939201,,10.849,True,"Consistently profitable, compounding business: 28% average return on capital over 4 years, growing revenue 24% a year",7,1788079112
DABUR.NS,34.71223,5.9953713,,10.907,False,,7,1788079113
DALBHARAT.NS,37.597797,1.9251093,,40.987,False,,6,1788079114
DATAPATTNS.NS,96.209694,14.914716,,0.304,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 27% a year",7,1788079115
DEEPAKFERT.NS,18.65567,2.649487,,75.969,False,,5,1788079116
DEEPAKNTR.NS,30.664463,4.1194835,,27.903,False,,4,1788079117
DELHIVERY.NS,388.59503,3.6228032,,15.098,False,,6,1788079118
DEVYANI.NS,,11.190723,,203.327,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 23% a year",5,1788079119
DIVISLAB.NS,93.45539,14.633164,,0.042,True,"Consistently profitable, compounding business: 19% average return on capital over 4 years, growing revenue 11% a year",5,1788079120
DIXON.NS,43.103447,16.319029,,18.457,True,"Consistently profitable, compounding business: 39% average return on capital over 4 years, growing revenue 59% a year",7,1788079121
LALPATHLAB.NS,59.71243,12.8561735,,7.83,True,"Consistently profitable, compounding business: 26% average return on capital over 4 years, growing revenue 11% a year",7,1788079122
DRREDDY.NS,29.672543,2.5591671,0.088369995,18.605,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 11% a year",5,1788079123
EIDPARRY.NS,30.866232,1.6292549,,23.647,False,,6,1788079124
EIHOTEL.NS,26.377323,3.5390444,,4.666,True,"Consistently profitable, compounding business: 20% average return on capital over 4 years, growing revenue 13% a year",6,1788079125
EICHERMOT.NS,38.609688,8.807506,,2.048,True,"Consistently profitable, compounding business: 27% average return on capital over 4 years, growing revenue 17% a year",6,1788079126
ELECON.NS,40.3463,4.1384444,,11.824,True,"Consistently profitable, compounding business: 25% average return on capital over 4 years, growing revenue 16% a year",5,1788079127
ELGIEQUIP.NS,44.28521,8.882061,,23.885,False,,7,1788079128
EMAMILTD.NS,22.623732,5.6637855,,5.541,False,,5,1788079129
EMCURE.NS,35.040302,7.159051,,30.567,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 16% a year",6,1788079129
EMMVEE.NS,17.623709,6.070084,,9.745,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 103% a year",7,1788079130
ENDURANCE.NS,42.507614,6.023108,,19.393,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 18% a year",6,1788079131
ENGINERSIN.NS,17.693167,4.544917,,0.534,False,,7,1788079132
ERIS.NS,28.010227,4.6055284,,60.545,False,,5,1788079133
ESCORTS.NS,23.970587,2.7266793,,1.309,False,,7,1788079134
ETERNAL.NS,713.04346,9.695824,,14.826,False,,5,1788079135
EXIDEIND.NS,39.982014,2.7178366,,11.308,False,,7,1788079136
NYKAA.NS,368.84613,66.83592,,82.829,False,,7,1788079137
FEDERALBNK.NS,18.41894,2.1191788,,,False,,6,1788079137
FACT.NS,,39.30038,,295.147,False,,3,1788079138
FINCABLES.NS,24.82119,3.2626374,,0.314,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 13% a year",4,1788079139
FSL.NS,28.169453,4.24021,,67.135,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 17% a year",6,1788079140
FIVESTAR.NS,14.266578,2.1511762,,111.929,False,,4,1788079141
FORCEMOT.NS,18.281517,5.553749,,,True,"Consistently profitable, compounding business: 28% average return on capital over 4 years, growing revenue 22% a year",8,1788079142
FORTIS.NS,66.576866,7.070433,,34.15,False,,7,1788079143
GAIL.NS,11.467829,1.2622743,,27.809,False,,4,1788079144
GVT&D.NS,86.21498,41.29347,,0.892,True,"Consistently profitable, compounding business: 34% average return on capital over 4 years, growing revenue 31% a year",8,1788079145
GMRAIRPORT.NS,245.775,-41.34146,,,False,,8,1788079146
GABRIEL.NS,77.52834,14.374606,,10.642,True,"Consistently profitable, compounding business: 24% average return on capital over 4 years, growing revenue 16% a year",6,1788079147
GALLANTT.NS,28.791729,4.204931,,,False,,7,1788079148
GRSE.NS,37.879093,11.396805,,1.424,True,"Consistently profitable, compounding business: 30% average return on capital over 4 years, growing revenue 40% a year",5,1788079149
GICRE.NS,6.9547243,0.62760127,0.091079995,,False,,6,1788079150
GILLETTE.NS,45.249878,25.18824,,0.002,False,,7,1788079150
GLAND.NS,42.228397,4.59373,,2.738,False,,8,1788079151
GLAXO.NS,48.781406,23.208935,,1.467,False,,6,1788079152
GLENMARK.NS,38.60915,6.752131,,5.646,False,,8,1788079153
MEDANTA.NS,72.989586,9.98298,,29.869,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 17% a year",6,1788079154
GODIGIT.NS,49.40678,5.1759853,,7.469,False,,5,1788079155
GPIL.NS,19.081146,2.536485,,7.582,False,,6,1788079156
GODFRYPHLP.NS,24.097357,5.332004,,3.757,True,"Consistently profitable, compounding business: 28% average return on capital over 4 years, growing revenue 22% a year",7,1788079157
GODREJCP.NS,49.27302,7.4023733,,34.899,False,,6,1788079158
GODREJIND.NS,33.491108,3.5182726,,222.411,False,,4,1788079159
GODREJPROP.NS,38.15532,3.1906195,,82.119,False,,4,1788079160
GRANULES.NS,31.021507,4.077083,,29.735,False,,6,1788079161
GRAPHITE.NS,62.47756,2.320882,,6.295,False,,5,1788079162
GRASIM.NS,39.292965,2.156619,,135.044,False,,5,1788079163
GRAVITA.NS,33.899,5.4220033,,29.934,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 15% a year",5,1788079164
GESHIP.NS,5.0302277,1.1274927,,6.409,False,,7,1788079165
FLUOROCHEM.NS,85.81296,6.8482556,,28.94,False,,6,1788079165
GMDCLTD.NS,18.865072,2.5536807,,4.475,False,,4,1788079166
HEG.NS,38.027332,2.990635,,16.73,False,,6,1788079167
HBLENGINE.NS,23.93821,8.365495,,3.021,True,"Consistently profitable, compounding business: 29% average return on capital over 4 years, growing revenue 34% a year",7,1788079168
HCLTECH.NS,19.959053,4.8087206,0.24067,7.058,False,,7,1788079169
HDBFS.NS,20.493212,2.7297823,,484.313,False,,5,1788079170
HDFCAMC.NS,37.509125,11.925374,,2.364,True,"Consistently profitable, compounding business: 37% average return on capital over 4 years, growing revenue 24% a year",6,1788079171
HDFCBANK.NS,15.550518,1.8290408,0.13838,,False,,6,1788079172
HDFCLIFE.NS,59.890713,6.102314,0.10828,15.885,False,,4,1788079173
HFCL.NS,64.15051,7.5851355,,38.321,False,,5,1788079174
HAVELLS.NS,46.94434,8.112483,,2.801,False,,6,1788079175
HEROMOTOCO.NS,20.576132,5.1848254,,3.57,True,"Consistently profitable, compounding business: 29% average return on capital over 4 years, growing revenue 12% a year",8,1788079177
HEXT.NS,25.467463,5.048835,0.21473,10.18,True,"Consistently profitable, compounding business: 28% average return on capital over 4 years, growing revenue 13% a year",5,1788079178
HSCL.NS,42.377205,7.2138367,,16.169,False,,3,1788079178
HINDALCO.NS,13.889409,1.6860508,,72.598,False,,4,1788079179
HAL.NS,35.088062,7.921281,,0.16,False,,7,1788079180
HINDCOPPER.NS,45.68065,15.451781,,3.319,True,"Consistently profitable, compounding business: 23% average return on capital over 4 years, growing revenue 23% a year",8,1788079181
HINDPETRO.NS,47.15026,1.1816609,,85.369,False,,8,1788079182
HINDUNILVR.NS,44.645794,9.691664,,3.016,False,,6,1788079183
HINDZINC.NS,15.10442,11.614012,,39.034,False,,8,1788079184
POWERINDIA.NS,131.57791,28.701855,,1.663,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 22% a year",7,1788079185
HOMEFIRST.NS,21.65733,2.869623,,243.944,False,,4,1788079186
HONASA.NS,61.846252,10.8289995,,9.586,False,,6,1788079187
HONAUT.NS,58.906292,7.2581434,,2.476,True,"Consistently profitable, compounding business: 18% average return on capital over 4 years, growing revenue 11% a year",5,1788079188
HUDCO.NS,8.590248,1.6686853,,645.775,False,,3,1788079189
HYUNDAI.NS,37.036434,9.205119,,5.484,False,,7,1788079190
ICICIBANK.NS,18.657225,2.68262,0.16073999,,False,,6,1788079191
ICICIGI.NS,32.898064,4.574461,0.1463,,True,"Consistently profitable, compounding business: 22% average return on capital over 4 years, growing revenue 15% a year",5,1788079191
ICICIAMC.NS,44.71091,37.20258,,4.066,True,"Consistently profitable, compounding business: 97% average return on capital over 4 years, growing revenue 29% a year",4,1788079192
ICICIPRULI.NS,43.508167,5.379831,0.12579,19.037,False,,4,1788079193
IDBI.NS,10.638347,1.4103502,0.13874,,False,,6,1788079194
IDFCFIRSTB.NS,32.342415,1.5082562,,,False,,5,1788079195
IFCI.NS,128.51428,2.659257,,,False,,7,1788079196
IIFL.NS,13.434889,2.0141764,,447.421,False,,4,1788079197
IRB.NS,24.766233,1.0787419,,95.6,False,,5,1788079198
IRCON.NS,18.630136,1.7316753,,85.833,False,,3,1788079199
ITCHOTELS.NS,39.497574,2.9076061,,0.634,False,,7,1788079200
ITC.NS,16.975111,4.596589,,3.293,False,,4,1788079201
ITI.NS,81.99405,13.910628,,40.144,False,,5,1788079202
INDGN.NS,34.834538,4.443549,,5.043,True,"Consistently profitable, compounding business: 23% average return on capital over 4 years, growing revenue 15% a year",6,1788079203
INDIACEM.NS,123.66221,1.1317792,,12.888,False,,6,1788079204
INDIAMART.NS,21.477995,4.7598147,0.23146,0.974,True,"Consistently profitable, compounding business: 26% average return on capital over 4 years, growing revenue 17% a year",6,1788079205
INDIANB.NS,9.319815,1.4165702,0.16171,,False,,6,1788079206
IEX.NS,21.405975,7.988457,,0.818,True,"Consistently profitable, compounding business: 49% average return on capital over 4 years, growing revenue 15% a year",6,1788079207
INDHOTEL.NS,47.63318,7.7037168,,18.987,True,"Consistently profitable, compounding business: 21% average return on capital over 4 years, growing revenue 19% a year",7,1788079207
IOC.NS,5.6096563,0.8599817,,58.446,False,,7,1788079208
